timestamp,mq7,mq8,mq135,temperature,humidity
1677070379,1182.0,1291.0,1449.0,25.8,38.0
1677070401,1158.0,1264.0,1407.0,25.8,34.0
1677070421,1145.0,1155.0,1415.0,25.8,34.0
1677070442,1167.0,1143.0,1419.0,25.8,34.0
1677070462,1171.0,1069.0,1403.0,25.8,34.0
1677070482,1168.0,1046.0,1399.0,25.8,34.0
1677070503,1155.0,1072.0,1396.0,25.8,34.0
1677070523,1153.0,1031.0,1395.0,25.8,34.0
1677070545,1173.0,1041.0,1421.0,25.8,34.0
1677070565,1165.0,1040.0,1419.0,25.8,34.0
1677070588,1170.0,1047.0,1415.0,25.8,34.0
1677070609,1150.0,1036.0,1391.0,25.8,34.0
1677070629,1164.0,1033.0,1390.0,25.8,34.0
1677070649,1207.0,1097.0,1385.0,25.8,34.0
1677070672,1136.0,1073.0,1381.0,25.8,34.0
1677070694,1104.0,961.0,1274.0,,
1677070715,1136.0,1182.0,1385.0,25.8,34.0
1677070735,1137.0,1186.0,1381.0,25.8,34.0
1677070755,1184.0,1170.0,1389.0,25.8,34.0
1677070779,1152.0,1623.0,1385.0,25.8,34.0
1677070800,1141.0,1350.0,1416.0,25.8,34.0
1677070820,1156.0,1328.0,1407.0,25.8,34.0
1677070840,1146.0,1263.0,1398.0,25.8,34.0
1677070861,1138.0,1185.0,1407.0,25.8,34.0
1677070881,1133.0,1133.0,1414.0,25.8,34.0
1677070901,1131.0,1115.0,1428.0,25.8,34.0
1677070923,1104.0,1177.0,1424.0,25.8,34.0
1677070943,1121.0,1203.0,1408.0,25.8,34.0
1677070965,1125.0,1206.0,1406.0,25.8,34.0
1677070986,1182.0,1291.0,1403.0,25.8,34.0
1677071002,1125.0,1219.0,1397.0,25.8,34.0
1677071022,1117.0,1233.0,1406.0,25.8,34.0
1677071042,1104.0,1447.0,1407.0,25.8,34.0
1677071063,1113.0,1734.0,1417.0,25.8,34.0
1677071083,1115.0,1103.0,1413.0,25.8,34.0
1677071103,1116.0,1083.0,1427.0,25.8,34.0
1677071124,1132.0,1424.0,1427.0,25.8,34.0
1677071146,1121.0,1106.0,1435.0,25.8,34.0
1677071166,1131.0,1072.0,1435.0,25.8,34.0
1677071186,1103.0,1071.0,1422.0,25.8,34.0
1677071207,1143.0,1099.0,1441.0,25.8,34.0
1677071227,1115.0,1113.0,1413.0,25.8,34.0
1677071248,1123.0,1189.0,1418.0,25.8,34.0
1677071268,1142.0,1312.0,1461.0,25.8,34.0
1677071288,1104.0,1715.0,1413.0,25.8,34.0
1677071309,1099.0,1717.0,1415.0,25.8,34.0
1677071332,1122.0,1659.0,1491.0,25.8,34.0
1677071352,1098.0,1296.0,1414.0,25.8,34.0
1677071372,1111.0,1248.0,1391.0,25.8,34.0
1677071393,1090.0,1163.0,1405.0,25.8,34.0
1677071414,1114.0,1153.0,1402.0,25.8,34.0
1677071435,1090.0,1155.0,1408.0,25.8,34.0
1677071455,1104.0,1168.0,1422.0,25.8,34.0
1677071475,1094.0,1214.0,1407.0,25.8,34.0
1677071495,1099.0,1168.0,1433.0,25.8,34.0
1677071517,1123.0,1139.0,1446.0,25.8,34.0
1677071538,1099.0,1094.0,1413.0,25.8,34.0
1677071558,1101.0,1081.0,1398.0,25.8,34.0
1677071578,1104.0,1072.0,1395.0,25.8,35.0
1677071599,1106.0,1088.0,1451.0,25.8,34.0
1677071619,1089.0,1068.0,1392.0,25.8,34.0
1677071639,1097.0,1085.0,1399.0,25.8,34.0
1677071660,1072.0,1095.0,1423.0,25.8,34.0
1677071680,1091.0,1106.0,1433.0,25.8,34.0
1677071702,1120.0,1129.0,1454.0,25.8,34.0
1677071722,1098.0,1136.0,1398.0,25.8,34.0
1677071743,1109.0,1152.0,1404.0,25.8,34.0
1677071763,1115.0,1226.0,1350.0,25.8,34.0
1677071783,1100.0,1473.0,1346.0,25.8,34.0
1677071803,1116.0,1389.0,1350.0,25.8,34.0
1677071824,1114.0,1328.0,1326.0,25.8,34.0
1677071845,1097.0,1146.0,1331.0,25.8,34.0
1677071866,1088.0,1075.0,1354.0,25.8,34.0
1677071888,1130.0,1109.0,1360.0,25.8,34.0
1677071908,1115.0,1094.0,1371.0,25.8,34.0
1677071929,1119.0,1093.0,1372.0,25.8,34.0
1677071951,1035.0,1015.0,1279.0,25.8,34.0
1677071972,1131.0,1110.0,1351.0,25.8,34.0
1677071992,1110.0,1124.0,1366.0,25.8,34.0
1677072013,1090.0,1105.0,1331.0,25.8,34.0
1677072033,1107.0,1103.0,1345.0,25.8,34.0
1677072053,1094.0,1089.0,1350.0,25.8,34.0
1677072075,1104.0,1088.0,1360.0,25.8,34.0
1677072095,1105.0,1099.0,1373.0,25.8,34.0
1677072506,4095.0,1212.0,1406.0,25.8,36.0
1677072528,4095.0,1200.0,1384.0,26.2,34.0
1677072548,4095.0,1219.0,1374.0,26.2,34.0
1677072569,4095.0,1177.0,1360.0,26.2,34.0
1677072589,4095.0,1171.0,1367.0,26.2,34.0
1677072609,4095.0,1146.0,1338.0,26.2,35.0
1677072629,4095.0,1136.0,1333.0,26.2,34.0
1677072650,4095.0,1131.0,1339.0,26.2,34.0
1677072670,4095.0,1129.0,1338.0,26.2,34.0
1677072691,4095.0,1147.0,1308.0,26.2,34.0
1677072713,4095.0,1153.0,1319.0,26.2,34.0
1677072734,4095.0,1159.0,1317.0,26.4,34.0
1677072754,4095.0,1159.0,1310.0,26.7,34.0
1677072774,4095.0,1123.0,1276.0,26.7,34.0
1677072795,4095.0,1130.0,1265.0,26.7,34.0
1677072815,4095.0,1119.0,1249.0,26.7,34.0
1677072835,4095.0,1110.0,1248.0,26.7,34.0
1677072855,4095.0,1114.0,1234.0,26.7,34.0
1677072876,4095.0,1114.0,1221.0,26.7,34.0
1677072899,4095.0,1131.0,1238.0,26.7,34.0
1677072919,4095.0,1149.0,1315.0,26.7,34.0
1677072940,4095.0,1138.0,1238.0,26.7,34.0
1677072960,4095.0,1126.0,1202.0,26.7,34.0
1677072980,4095.0,1134.0,1207.0,26.7,34.0
1677073000,4095.0,1125.0,1194.0,26.7,34.0
1677073021,4095.0,1119.0,1170.0,26.7,34.0
1677073043,4095.0,1113.0,1185.0,26.7,34.0
1677073063,4095.0,1104.0,1178.0,26.7,34.0
1677073085,4095.0,1118.0,1163.0,27.1,34.0
1677073105,4095.0,1108.0,1159.0,27.1,34.0
1677073125,4095.0,1108.0,1151.0,27.1,34.0
1677073147,4095.0,1104.0,1163.0,27.1,34.0
