timestamp,mq7,mq135,temperature,humidity
1640555763,130.0,62.0,24.2,65.0
1640555778,129.0,63.0,24.3,65.0
1640555791,129.0,62.0,24.3,65.0
1640555807,129.0,63.0,24.3,65.0
1640555823,129.0,64.0,24.3,65.0
1640555837,128.0,63.0,24.3,65.0
1640555852,130.0,63.0,24.3,65.0
1640555868,131.0,64.0,24.3,65.0
1640555896,129.0,64.0,24.3,65.0
1640555912,131.0,64.0,24.3,65.0
1640555926,134.0,63.0,24.3,65.0
1640555940,131.0,61.0,24.4,65.0
1640555958,129.0,61.0,24.4,64.0
1640555970,128.0,61.0,24.4,65.0
1640555984,126.0,62.0,24.4,64.0
1640555997,128.0,63.0,24.3,65.0
1640556011,129.0,62.0,24.2,65.0
1640556024,130.0,62.0,24.3,65.0
1640556037,129.0,62.0,24.3,65.0
1640556051,129.0,62.0,24.3,65.0
1640557041,102.0,52.0,23.7,67.0
1640557953,105.0,49.0,24.0,65.0
1640559167,92.0,43.0,24.0,64.0
1640560688,78.0,37.0,23.9,63.0
1640561908,74.0,35.0,23.8,64.0
1640563124,69.0,34.0,23.5,64.0
1640564342,67.0,33.0,23.0,64.0
1640565562,65.0,32.0,23.1,63.0
1640567080,64.0,32.0,23.0,63.0
1640567992,61.0,30.0,22.9,63.0
1640593199,90.0,43.0,29.1,46.0
1640593815,81.0,40.0,28.4,49.0
1640594124,83.0,40.0,26.7,52.0
1640594736,74.0,37.0,28.2,49.0
1640595350,80.0,38.0,27.7,49.0
1640595661,78.0,35.0,29.5,44.0
1640596272,67.0,31.0,28.9,45.0
1640596580,77.0,37.0,30.4,43.0
1640596889,75.0,38.0,29.3,45.0
1640597499,73.0,37.0,28.9,43.0
1640597808,76.0,37.0,29.9,39.0
1640598117,76.0,37.0,28.4,44.0
1640598428,84.0,42.0,29.3,43.0
1640598739,74.0,35.0,28.5,43.0
1640599049,92.0,49.0,29.6,41.0
1640599359,81.0,37.0,28.2,44.0
1640599667,76.0,35.0,27.4,47.0
1640600579,73.0,34.0,28.5,46.0
1640600889,73.0,56.0,31.4,39.0
1640601811,68.0,33.0,30.2,43.0
1640602129,77.0,39.0,29.0,47.0
1640602740,65.0,29.0,27.7,44.0
1640603203,42.0,18.0,,
1640603513,68.0,32.0,29.3,40.0
1640604124,73.0,36.0,29.1,45.0
1640604432,74.0,35.0,28.9,44.0
1640604741,72.0,33.0,30.4,43.0
1640605352,75.0,35.0,29.6,42.0
1640605960,72.0,34.0,28.5,47.0
1640606269,71.0,33.0,29.7,40.0
1640606583,74.0,36.0,28.1,46.0
1640607195,70.0,32.0,29.2,37.0
1640607805,72.0,38.0,30.4,41.0
1640608424,69.0,32.0,27.5,42.0
1640608742,69.0,31.0,28.5,40.0
1640609360,67.0,31.0,28.9,38.0
1640610354,68.0,32.0,29.7,36.0
1640610985,67.0,32.0,28.7,37.0
1640611303,66.0,32.0,28.7,36.0
1640612231,66.0,33.0,28.4,36.0
1640612540,71.0,35.0,28.5,38.0
1640613154,74.0,37.0,28.6,39.0
1640613763,75.0,37.0,27.9,42.0
1640614074,75.0,37.0,27.3,43.0
1640614686,81.0,39.0,27.2,45.0
1640615298,82.0,40.0,27.0,46.0
1640615606,80.0,39.0,26.9,47.0
